unique_id,age,height,weight,gender,exercise_name,body_part,type_of_muscle,sets,recommendation,BMI,BMI_Result
1,32,172,68,Male,Bench Press,Chest,Compound,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Squats,Legs,Compound,5,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Deadlift,Back,Compound,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Barbell Rows,Back,Compound,4,Muscle Gain,22.98,Normal Weight
2,29,167,63,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Lunges,Legs,Compound,5,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Push-ups,Chest,Compound,3,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Plank,Core,Compound,3,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Crunches,Core,Isolation,3,Muscle Gain,22.56,Normal Weight
3,38,178,80,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Dips,Triceps,Compound,4,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,25.25,Overweight
4,44,173,90,Female,Plank,Core,Compound,3,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Lunges,Legs,Compound,5,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Push-ups,Chest,Compound,3,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Crunches,Core,Isolation,3,Muscle Gain,30.07,Obesity
5,55,180,95,Male,Deadlift,Back,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Barbell Rows,Back,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Squats,Legs,Compound,5,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Bench Press,Chest,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,29.32,Overweight
6,37,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
7,28,170,60,Male,Deadlift,Back,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Barbell Rows,Back,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Bench Press,Chest,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Squats,Legs,Compound,5,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,20.76,Normal Weight
8,33,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
8,33,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
